PublicationDate,countryName,reportingYear,Pollutant,Releases
12/15/2025,Romania,2023,Carbon monoxide (CO),47979000
12/15/2025,Cyprus,2007,Sulphur oxides (SOX),25616000
12/15/2025,Latvia,2017,Nitrous oxide (N2O),31600
12/15/2025,France,2012,Anthracene,238
12/15/2025,Italy,2009,Fluorine and inorganic compounds (as HF),476800
12/15/2025,Belgium,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.018793
12/15/2025,Netherlands,2013,Chlorofluorocarbons (CFCs),7663.23
12/15/2025,Finland,2007,Cadmium and compounds (as Cd),184.8
12/15/2025,Belgium,2019,"Benzo(g,h,i)perylene",0.76323
12/15/2025,Slovakia,2017,Nickel and compounds (as Ni),499
12/15/2025,Austria,2015,Cadmium and compounds (as Cd),40.9
12/15/2025,Greece,2023,Hydro-fluorocarbons (HFCS),3457
12/15/2025,Sweden,2015,Nickel and compounds (as Ni),1331.3
12/15/2025,Italy,2012,Copper and compounds (as Cu),6825
12/15/2025,Austria,2010,Sulphur oxides (SOX),8061000
12/15/2025,France,2008,Ethylene oxide,18550
12/15/2025,France,2016,"1,1,1-trichloroethane (TCE-1,1,1)",29190
12/15/2025,Italy,2012,Carbon monoxide (CO),252207000
12/15/2025,Sweden,2015,Ammonia (NH3),3695900
12/15/2025,Portugal,2009,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",66
12/15/2025,Sweden,2016,Non-methane volatile organic compounds (NMVOC),23771000
12/15/2025,Czechia,2020,Polychlorinated biphenyls (PCBs),0.10341
12/15/2025,Finland,2022,PCDD + PCDF (dioxins + furans) (as Teq),0.002008
12/15/2025,Germany,2012,Chlorofluorocarbons (CFCs),427.87
12/15/2025,Belgium,2022,Chromium and compounds (as Cr),1349
12/15/2025,Slovakia,2019,Cadmium and compounds (as Cd),65.3
12/15/2025,Greece,2009,Carbon monoxide (CO),31716000
12/15/2025,Norway,2012,Tetrachloromethane (TCM),1480
12/15/2025,France,2016,Chlorofluorocarbons (CFCs),1305.5
12/15/2025,Switzerland,2018,Benzene,19540
12/15/2025,Switzerland,2018,Lead and compounds (as Pb),1917.41
12/15/2025,Czechia,2021,Benzene,12594.612
12/15/2025,Switzerland,2012,Zinc and compounds (as Zn),7805
12/15/2025,Romania,2014,Non-methane volatile organic compounds (NMVOC),7275000
12/15/2025,Netherlands,2008,Mercury and compounds (as Hg),467.8
12/15/2025,Netherlands,2008,Particulate matter (PM10),2130600
12/15/2025,Portugal,2024,Polycyclic aromatic hydrocarbons (PAHs),636
12/15/2025,Romania,2017,Particulate matter (PM10),3511800
12/15/2025,Latvia,2013,Trichloromethane,1480
12/15/2025,Czechia,2014,Lead and compounds (as Pb),14663
12/15/2025,Czechia,2011,Nitrous oxide (N2O),1101300
12/15/2025,Bulgaria,2012,Nitrogen oxides (NOX),51846000
12/15/2025,Denmark,2023,Total organic carbon(as total C or COD/3) (TOC),2988
12/15/2025,Norway,2014,Fluorine and inorganic compounds (as HF),8240
12/15/2025,Finland,2020,Arsenic and compounds (as As),332.8
12/15/2025,Finland,2021,Hexachlorobenzene (HCB),15.1
12/15/2025,Croatia,2024,PCDD + PCDF (dioxins + furans) (as Teq),0.0004
12/15/2025,Greece,2010,Carbon monoxide (CO),31631000
12/15/2025,France,2008,Tetrachloromethane (TCM),9856
12/15/2025,Portugal,2013,Carbon monoxide (CO),27652000
12/15/2025,Belgium,2023,Polycyclic aromatic hydrocarbons (PAHs),167.4
12/15/2025,Austria,2008,Nitrogen oxides (NOX),22873000
12/15/2025,Croatia,2019,Arsenic and compounds (as As),67.8
12/15/2025,Slovenia,2012,Arsenic and compounds (as As),37.6
12/15/2025,Austria,2019,Carbon monoxide (CO),159667000
12/15/2025,Cyprus,2014,Nickel and compounds (as Ni),5179.3
12/15/2025,Estonia,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.000196
12/15/2025,Netherlands,2023,Ammonia (NH3),1534300
12/15/2025,Portugal,2009,Chlorine and inorganic compounds (as HCl),298900
12/15/2025,Sweden,2017,Copper and compounds (as Cu),2038
12/15/2025,Ireland,2020,Perfluorocarbons (PFCs),7187
12/15/2025,Cyprus,2013,Arsenic and compounds (as As),108.5
12/15/2025,Cyprus,2014,Ammonia (NH3),1205900
12/15/2025,Greece,2010,Mercury and compounds (as Hg),2221.6
12/15/2025,Switzerland,2022,Hydro-fluorocarbons (HFCS),868.5
12/15/2025,Lithuania,2022,Cadmium and compounds (as Cd),0
12/15/2025,Lithuania,2022,Nitrogen oxides (NOX),4442723
12/15/2025,Cyprus,2012,Arsenic and compounds (as As),177.1
12/15/2025,Luxembourg,2009,Methane (CH4),1909000
12/15/2025,Austria,2009,Sulphur oxides (SOX),6530000
12/15/2025,Iceland,2015,Perfluorocarbons (PFCs),13080
12/15/2025,Switzerland,2013,Chlorine and inorganic compounds (as HCl),14000
12/15/2025,Iceland,2007,Ammonia (NH3),13400
12/15/2025,Finland,2009,Carbon dioxide (CO2) excluding biomass,30214084000
12/15/2025,Latvia,2009,Carbon dioxide (CO2),492000000
12/15/2025,Switzerland,2007,Trichloroethylene (TRI),25500
12/15/2025,Estonia,2014,Chromium and compounds (as Cr),8880
12/15/2025,Hungary,2013,Carbon monoxide (CO),15410000
12/15/2025,Latvia,2017,Nitrogen oxides (NOX),2688000
12/15/2025,Switzerland,2021,Polychlorinated biphenyls (PCBs),1.6
12/15/2025,Luxembourg,2012,Polychlorinated biphenyls (PCBs),0.925
12/15/2025,Luxembourg,2013,Polychlorinated biphenyls (PCBs),2.063
12/15/2025,Portugal,2012,Chromium and compounds (as Cr),521
12/15/2025,Luxembourg,2018,Methane (CH4),1760000
12/15/2025,Portugal,2012,Mercury and compounds (as Hg),368
12/15/2025,Malta,2007,Nickel and compounds (as Ni),6240
12/15/2025,Lithuania,2014,Nitrogen oxides (NOX),4430000
12/15/2025,Lithuania,2014,Nitrous oxide (N2O),1130000
12/15/2025,Hungary,2017,Nitrous oxide (N2O),144100
12/15/2025,France,2013,Anthracene,142
12/15/2025,Luxembourg,2023,Carbon dioxide (CO2),566000000
12/15/2025,Italy,2021,Polycyclic aromatic hydrocarbons (PAHs),92.6444
12/15/2025,Switzerland,2008,Zinc and compounds (as Zn),15372
12/15/2025,Portugal,2010,Chlorine and inorganic compounds (as HCl),370500
12/15/2025,Austria,2008,Nitrous oxide (N2O),1098600
12/15/2025,Ireland,2021,Sulphur hexafluoride (SF6),237
12/15/2025,Netherlands,2017,Chromium and compounds (as Cr),663
12/15/2025,Estonia,2007,Lead and compounds (as Pb),36500
12/15/2025,France,2021,Copper and compounds (as Cu),5494
12/15/2025,Netherlands,2017,Mercury and compounds (as Hg),270.7
12/15/2025,Spain,2015,Zinc and compounds (as Zn),99287
12/15/2025,Austria,2017,Nitrogen oxides (NOX),11561000
12/15/2025,Austria,2017,Nitrous oxide (N2O),25000
12/15/2025,Italy,2011,Ammonia (NH3),20018000
12/15/2025,Belgium,2015,Hydrochlorofluorocarbons (HCFCs),67.89
12/15/2025,Estonia,2012,Copper and compounds (as Cu),2065
12/15/2025,Germany,2024,Chlorofluorocarbons (CFCs),130.11
12/15/2025,Luxembourg,2024,Ammonia (NH3),119100
12/15/2025,Italy,2021,Mercury and compounds (as Hg),597.7593
12/15/2025,Finland,2016,Cadmium and compounds (as Cd),45.3
12/15/2025,Czechia,2012,Arsenic and compounds (as As),2174.3
12/15/2025,Germany,2017,Sulphur oxides (SOX),198393000
12/15/2025,United Kingdom,2016,Sulphur oxides (SOX),92100000
12/15/2025,Italy,2008,Zinc and compounds (as Zn),134941
12/15/2025,Spain,2007,Fluorine and inorganic compounds (as HF),4317170
12/15/2025,Malta,2013,Nitrogen oxides (NOX),2957000
12/15/2025,France,2021,Nitrous oxide (N2O),2924400
12/15/2025,Poland,2021,Carbon dioxide (CO2),1.83614E+11
12/15/2025,Netherlands,2017,Carbon dioxide (CO2) excluding biomass,62588000000
12/15/2025,Norway,2016,Ammonia (NH3),729200
12/15/2025,Poland,2023,Hydrogen cyanide (HCN),15708
12/15/2025,Belgium,2017,Zinc and compounds (as Zn),18254
12/15/2025,Italy,2021,Chromium and compounds (as Cr),2354.4393
12/15/2025,Luxembourg,2015,Cadmium and compounds (as Cd),12.6
12/15/2025,Norway,2010,Sulphur oxides (SOX),11030000
12/15/2025,Germany,2015,Nitrous oxide (N2O),8041400
12/15/2025,Italy,2007,Sulphur oxides (SOX),219305000
12/15/2025,Germany,2007,Chromium and compounds (as Cr),19836
12/15/2025,France,2007,Dichloromethane (DCM),1849830
12/15/2025,Sweden,2024,Sulphur oxides (SOX),7311797.8
12/15/2025,Germany,2023,Nitrous oxide (N2O),3036600
12/15/2025,Finland,2012,Chlorine and inorganic compounds (as HCl),840700
12/15/2025,Bulgaria,2008,Sulphur oxides (SOX),745561000
12/15/2025,Belgium,2010,Arsenic and compounds (as As),1008.3
12/15/2025,Belgium,2024,Non-methane volatile organic compounds (NMVOC),9151000
12/15/2025,United Kingdom,2015,Trichlorobenzenes (TCB),22.3
12/15/2025,Norway,2013,"Benzo(g,h,i)perylene",560.912
12/15/2025,Hungary,2014,Zinc and compounds (as Zn),2879
12/15/2025,Belgium,2014,Lead and compounds (as Pb),13900
12/15/2025,France,2022,Nitrogen oxides (NOX),77025000
12/15/2025,Portugal,2023,PCDD + PCDF (dioxins + furans) (as Teq),0.003598
12/15/2025,Bulgaria,2018,Ammonia (NH3),13191658.36
12/15/2025,Belgium,2010,Fluorine and inorganic compounds (as HF),83510
12/15/2025,Belgium,2011,Cadmium and compounds (as Cd),670.6
12/15/2025,Italy,2016,Cadmium and compounds (as Cd),446.3
12/15/2025,Netherlands,2022,Ammonia (NH3),1917500
12/15/2025,Czechia,2010,Polycyclic aromatic hydrocarbons (PAHs),2315.4
12/15/2025,Italy,2019,Lead and compounds (as Pb),8369.4427
12/15/2025,Sweden,2013,Chlorine and inorganic compounds (as HCl),629400
12/15/2025,Hungary,2008,Benzene,6110
12/15/2025,United Kingdom,2008,Trichlorobenzenes (TCB),245.5
12/15/2025,Bulgaria,2021,Nitrous oxide (N2O),333774
12/15/2025,Norway,2013,Nitrous oxide (N2O),1345600
12/15/2025,Norway,2013,Phenols (as total C),26304.1
12/15/2025,Germany,2013,Zinc and compounds (as Zn),63639
12/15/2025,France,2022,Cadmium and compounds (as Cd),809.399988
12/15/2025,Poland,2019,Benzene,27830
12/15/2025,Switzerland,2016,Chlorine and inorganic compounds (as HCl),18900
12/15/2025,Denmark,2015,Non-methane volatile organic compounds (NMVOC),9661000
12/15/2025,Portugal,2008,Benzene,26790
12/15/2025,France,2007,PCDD + PCDF (dioxins + furans) (as Teq),0.060736
12/15/2025,Spain,2018,Non-methane volatile organic compounds (NMVOC),49540000
12/15/2025,Netherlands,2022,Nickel and compounds (as Ni),554.3
12/15/2025,Norway,2009,Sulphur oxides (SOX),7701000
12/15/2025,Finland,2011,Ammonia (NH3),1976400
12/15/2025,France,2019,Fluorine and inorganic compounds (as HF),286560
12/15/2025,Romania,2014,Carbon monoxide (CO),62995000
12/15/2025,Czechia,2009,Polycyclic aromatic hydrocarbons (PAHs),1530.6
12/15/2025,Italy,2009,Hydrogen cyanide (HCN),6667
12/15/2025,Belgium,2009,Fluorine and inorganic compounds (as HF),73980
12/15/2025,Austria,2013,Ammonia (NH3),147100
12/15/2025,France,2016,Methane (CH4),99949000
12/15/2025,Estonia,2015,Carbon monoxide (CO),28640000
12/15/2025,Greece,2015,Particulate matter (PM10),3861900
12/15/2025,Hungary,2011,Carbon dioxide (CO2),21403000000
12/15/2025,Latvia,2020,Sulphur oxides (SOX),185000
12/15/2025,Belgium,2021,Polycyclic aromatic hydrocarbons (PAHs),211.9
12/15/2025,Spain,2024,Polycyclic aromatic hydrocarbons (PAHs),2119.2
12/15/2025,Hungary,2021,Lindane,11.1
12/15/2025,Romania,2008,Particulate matter (PM10),27505800
12/15/2025,Austria,2011,Particulate matter (PM10),1296100
12/15/2025,Czechia,2013,Particulate matter (PM10),3599400
12/15/2025,Slovenia,2023,Nickel and compounds (as Ni),65
12/15/2025,Bulgaria,2011,Copper and compounds (as Cu),4080
12/15/2025,Finland,2019,Cadmium and compounds (as Cd),10.8
12/15/2025,Greece,2008,Nickel and compounds (as Ni),58103
12/15/2025,Czechia,2014,Hydrochlorofluorocarbons (HCFCs),632.88
12/15/2025,Bulgaria,2010,Carbon dioxide (CO2),31580000000
12/15/2025,Czechia,2022,Carbon monoxide (CO),132930756.2
12/15/2025,Spain,2023,Chlorine and inorganic compounds (as HCl),339500
12/15/2025,Poland,2024,Hydrochlorofluorocarbons (HCFCs),2463.77
12/15/2025,Hungary,2016,Mercury and compounds (as Hg),317
12/15/2025,Poland,2017,Ammonia (NH3),9165200
12/15/2025,Poland,2024,Nickel and compounds (as Ni),9944.6
12/15/2025,Portugal,2012,Polycyclic aromatic hydrocarbons (PAHs),848.5
12/15/2025,Italy,2012,Non-methane volatile organic compounds (NMVOC),36856000
12/15/2025,Italy,2014,Hydrochlorofluorocarbons (HCFCs),17926.95
12/15/2025,Czechia,2022,Sulphur hexafluoride (SF6),998.46
12/15/2025,Spain,2012,Arsenic and compounds (as As),4548.3
12/15/2025,Italy,2018,Perfluorocarbons (PFCs),212621
12/15/2025,Sweden,2009,Chlorofluorocarbons (CFCs),3717.2
12/15/2025,Czechia,2019,Nitrogen oxides (NOX),55576017.39
12/15/2025,Latvia,2012,Nitrous oxide (N2O),41900
12/15/2025,Sweden,2019,Copper and compounds (as Cu),1610
12/15/2025,Denmark,2013,Nickel and compounds (as Ni),83.4
12/15/2025,Denmark,2013,Ammonia (NH3),1260900
12/15/2025,France,2015,Fluorine and inorganic compounds (as HF),412830
12/15/2025,Bulgaria,2020,Carbon dioxide (CO2),19649389629
12/15/2025,Denmark,2013,Polychlorinated biphenyls (PCBs),2.41
12/15/2025,Belgium,2009,Particulate matter (PM10),1149500
12/15/2025,Finland,2020,Polycyclic aromatic hydrocarbons (PAHs),161.2
12/15/2025,Iceland,2009,Sulphur oxides (SOX),12280000
12/15/2025,Portugal,2023,Dichloromethane (DCM),15250
12/15/2025,Belgium,2019,Nickel and compounds (as Ni),932.4
12/15/2025,Spain,2012,Chlorine and inorganic compounds (as HCl),1985700
12/15/2025,Netherlands,2018,Copper and compounds (as Cu),860
12/15/2025,Greece,2022,Hydro-fluorocarbons (HFCS),3195
12/15/2025,Bulgaria,2014,Cadmium and compounds (as Cd),83.9
12/15/2025,Spain,2013,Tetrachloroethylene,15410
12/15/2025,Norway,2012,"Benzo(g,h,i)perylene",610.771
12/15/2025,Lithuania,2007,Particulate matter (PM10),678000
12/15/2025,Norway,2012,Nitrous oxide (N2O),1499000
12/15/2025,Greece,2009,Non-methane volatile organic compounds (NMVOC),5188000
12/15/2025,Romania,2021,Carbon monoxide (CO),111730000
12/15/2025,Spain,2011,Polychlorinated biphenyls (PCBs),415.81
12/15/2025,Cyprus,2009,Mercury and compounds (as Hg),139.4
12/15/2025,Norway,2012,Phenols (as total C),31617.3
12/15/2025,Lithuania,2007,Fluorine and inorganic compounds (as HF),12800
12/15/2025,Estonia,2023,Sulphur oxides (SOX),5767930
12/15/2025,Portugal,2018,Hydrogen cyanide (HCN),548
12/15/2025,United Kingdom,2009,Trichloroethylene (TRI),182080
12/15/2025,Serbia,2023,Mercury and compounds (as Hg),62
12/15/2025,Portugal,2024,Mercury and compounds (as Hg),140.2
12/15/2025,Greece,2013,Fluorine and inorganic compounds (as HF),285440
12/15/2025,Greece,2017,Benzene,94120
12/15/2025,Cyprus,2019,Ammonia (NH3),1251700
12/15/2025,Switzerland,2007,Dichloromethane (DCM),15490
12/15/2025,Switzerland,2008,Chlorofluorocarbons (CFCs),697
12/15/2025,Greece,2013,Mercury and compounds (as Hg),1396.7
12/15/2025,Cyprus,2019,Nickel and compounds (as Ni),5033.4
12/15/2025,Netherlands,2008,Dichloromethane (DCM),99110
12/15/2025,Netherlands,2016,Vinyl chloride,21710
12/15/2025,Portugal,2024,Chromium and compounds (as Cr),448
12/15/2025,Switzerland,2008,Trichloromethane,3197
12/15/2025,Romania,2014,Copper and compounds (as Cu),254
12/15/2025,Ireland,2016,Hydrochlorofluorocarbons (HCFCs),461.26
12/15/2025,Switzerland,2020,Ammonia (NH3),383968.63
12/15/2025,Romania,2010,PCDD + PCDF (dioxins + furans) (as Teq),0.001598
12/15/2025,Netherlands,2020,Hydro-fluorocarbons (HFCS),19325
12/15/2025,Netherlands,2020,Carbon monoxide (CO),64236000
12/15/2025,United Kingdom,2010,Trichloroethylene (TRI),283590
12/15/2025,Latvia,2014,Methane (CH4),221000
12/15/2025,Bulgaria,2022,Lead and compounds (as Pb),7876
12/15/2025,Austria,2012,Ammonia (NH3),169800
12/15/2025,France,2017,Perfluorocarbons (PFCs),16180
12/15/2025,Latvia,2013,Nitrous oxide (N2O),49600
12/15/2025,Switzerland,2009,Methane (CH4),233000
12/15/2025,Croatia,2014,Arsenic and compounds (as As),30.8
12/15/2025,United Kingdom,2007,Ethylene oxide,11330
12/15/2025,Ireland,2011,Non-methane volatile organic compounds (NMVOC),2490000
12/15/2025,Slovakia,2015,Methane (CH4),3860000
12/15/2025,Switzerland,2019,Sulphur oxides (SOX),1679172.7
12/15/2025,Hungary,2008,Lead and compounds (as Pb),2840
12/15/2025,France,2012,Halons,2040
12/15/2025,Netherlands,2008,Polycyclic aromatic hydrocarbons (PAHs),68
12/15/2025,Austria,2011,Chromium and compounds (as Cr),200
12/15/2025,Greece,2018,Arsenic and compounds (as As),1232.3
12/15/2025,France,2013,Halons,2200
12/15/2025,Estonia,2020,Fine particulate matter (PM2.5),154900
12/15/2025,Netherlands,2007,Zinc and compounds (as Zn),38814
12/15/2025,Greece,2012,Fluorine and inorganic compounds (as HF),283790
12/15/2025,Austria,2007,Hydrochlorofluorocarbons (HCFCs),1169
12/15/2025,France,2017,Ethylene oxide,12700
12/15/2025,Latvia,2022,Carbon dioxide (CO2),1617000000
12/15/2025,Hungary,2022,Particulate matter (PM10),846453
12/15/2025,Spain,2012,Tetrachloroethylene,2520
12/15/2025,Belgium,2022,Hydrogen cyanide (HCN),17539
12/15/2025,Belgium,2011,"Benzo(g,h,i)perylene",750.038613
12/15/2025,Austria,2019,Naphthalene,153
12/15/2025,Austria,2019,Polycyclic aromatic hydrocarbons (PAHs),136
12/15/2025,Switzerland,2010,Methane (CH4),877000
12/15/2025,France,2019,Particulate matter (PM10),4627000
12/15/2025,Belgium,2017,Tetrachloroethylene,32500
12/15/2025,Germany,2020,Pentachlorophenol (PCP),12.6
12/15/2025,Slovenia,2016,Chlorine and inorganic compounds (as HCl),26500
12/15/2025,Estonia,2019,Mercury and compounds (as Hg),198.8
12/15/2025,Denmark,2017,Hydro-fluorocarbons (HFCS),119
12/15/2025,Finland,2010,Copper and compounds (as Cu),1477
12/15/2025,Croatia,2020,Carbon monoxide (CO),6957000
12/15/2025,Spain,2013,Trichloroethylene (TRI),4850
12/15/2025,Portugal,2017,Nickel and compounds (as Ni),4293.9
12/15/2025,Finland,2023,Naphthalene,1150
12/15/2025,Switzerland,2021,Lead and compounds (as Pb),2386.25
12/15/2025,Croatia,2014,Non-methane volatile organic compounds (NMVOC),849000
12/15/2025,Italy,2008,Tetrachloroethylene,21450
12/15/2025,Malta,2008,Hydrochlorofluorocarbons (HCFCs),35
12/15/2025,Sweden,2010,Chlorofluorocarbons (CFCs),843
12/15/2025,Luxembourg,2014,Carbon dioxide (CO2),1770000000
12/15/2025,Denmark,2008,Non-methane volatile organic compounds (NMVOC),5789000
12/15/2025,Luxembourg,2019,Copper and compounds (as Cu),145
12/15/2025,Luxembourg,2019,Carbon monoxide (CO),7080000
12/15/2025,Serbia,2024,Aldrin,341
12/15/2025,Spain,2016,Perfluorocarbons (PFCs),8010
12/15/2025,Iceland,2022,Perfluorocarbons (PFCs),38757914
12/15/2025,Belgium,2022,Perfluorocarbons (PFCs),12100
12/15/2025,Norway,2017,"1,2-dichloroethane (DCE-1,2)",8580
12/15/2025,Finland,2011,Polychlorinated biphenyls (PCBs),6.1
12/15/2025,Lithuania,2015,Sulphur oxides (SOX),12717000
12/15/2025,Estonia,2007,Nickel and compounds (as Ni),6019.4
12/15/2025,Germany,2010,Carbon dioxide (CO2),4.61917E+11
12/15/2025,Germany,2009,Nickel and compounds (as Ni),11353
12/15/2025,France,2013,Carbon dioxide (CO2),1.16791E+11
12/15/2025,Belgium,2013,Non-methane volatile organic compounds (NMVOC),20524000
12/15/2025,Germany,2021,Nitrous oxide (N2O),5148100
12/15/2025,Ireland,2009,Nitrogen oxides (NOX),21286000
12/15/2025,Ireland,2009,Nitrous oxide (N2O),183100
12/15/2025,Poland,2008,Nickel and compounds (as Ni),6946.5
12/15/2025,Slovakia,2008,Benzene,119620
12/15/2025,Germany,2007,Polycyclic aromatic hydrocarbons (PAHs),25832.9
12/15/2025,France,2007,Trichloroethylene (TRI),351730
12/15/2025,Belgium,2008,Hexachlorobenzene (HCB),14.5
12/15/2025,Germany,2021,Nitrogen oxides (NOX),222240000
12/15/2025,Germany,2018,Ammonia (NH3),16630100
12/15/2025,Germany,2018,Nickel and compounds (as Ni),5119.6
12/15/2025,Poland,2012,Carbon monoxide (CO),276644000
12/15/2025,Poland,2007,Cadmium and compounds (as Cd),939
12/15/2025,Finland,2017,Chlorine and inorganic compounds (as HCl),699500
12/15/2025,Greece,2011,Carbon dioxide (CO2),57159000000
12/15/2025,Poland,2007,Nitrogen oxides (NOX),337045000
12/15/2025,Poland,2007,Nitrous oxide (N2O),18679500
12/15/2025,Germany,2015,Sulphur oxides (SOX),227361000
12/15/2025,Sweden,2012,Nickel and compounds (as Ni),3048
12/15/2025,Luxembourg,2017,Nitrogen oxides (NOX),2339000
12/15/2025,Poland,2008,Ammonia (NH3),7294600
12/15/2025,Slovakia,2009,Ammonia (NH3),780800
12/15/2025,United Kingdom,2007,Toluene,81070
12/15/2025,Spain,2014,Chlorine and inorganic compounds (as HCl),1690400
12/15/2025,Germany,2008,Sulphur oxides (SOX),274617000
12/15/2025,United Kingdom,2018,Arsenic and compounds (as As),386.4
12/15/2025,Czechia,2017,Carbon dioxide (CO2),65641000000
12/15/2025,Poland,2012,Mercury and compounds (as Hg),3403.2
12/15/2025,Belgium,2012,Non-methane volatile organic compounds (NMVOC),22138000
12/15/2025,Germany,2021,Cadmium and compounds (as Cd),268.1
12/15/2025,France,2018,Nitrogen oxides (NOX),104211000
12/15/2025,Spain,2021,Lead and compounds (as Pb),8099
12/15/2025,Italy,2017,Zinc and compounds (as Zn),37213
12/15/2025,Estonia,2021,Carbon dioxide (CO2) excluding biomass,6410124000
12/15/2025,Netherlands,2009,Ethylene oxide,4540
12/15/2025,United Kingdom,2017,"1,1,1-trichloroethane (TCE-1,1,1)",1865
12/15/2025,Portugal,2023,Particulate matter (PM10),1030500
12/15/2025,Spain,2021,Benzene,67060
12/15/2025,Netherlands,2022,Lead and compounds (as Pb),1152
12/15/2025,Germany,2020,"1,2-dichloroethane (DCE-1,2)",394830
12/15/2025,Romania,2020,Chromium and compounds (as Cr),909
12/15/2025,United Kingdom,2012,Fluorine and inorganic compounds (as HF),2645090
12/15/2025,Poland,2020,Zinc and compounds (as Zn),68034
12/15/2025,Belgium,2014,Hydrochlorofluorocarbons (HCFCs),7992.67
12/15/2025,Belgium,2014,Nickel and compounds (as Ni),1839.8
12/15/2025,Lithuania,2021,Nitrogen oxides (NOX),4956000
12/15/2025,Germany,2012,Vinyl chloride,131230
12/15/2025,France,2018,Nitrous oxide (N2O),5129500
12/15/2025,Sweden,2013,Nickel and compounds (as Ni),2697.7
12/15/2025,Slovenia,2008,Zinc and compounds (as Zn),2176
12/15/2025,Bulgaria,2018,Lead and compounds (as Pb),733.111
12/15/2025,Estonia,2021,Chromium and compounds (as Cr),369
12/15/2025,Netherlands,2009,Carbon dioxide (CO2),89655000000
12/15/2025,Italy,2019,Ammonia (NH3),25934521.4
12/15/2025,Belgium,2024,Carbon monoxide (CO),108031000
12/15/2025,Norway,2015,Naphthalene,16064
12/15/2025,Netherlands,2015,Sulphur oxides (SOX),25946000
12/15/2025,Slovakia,2007,Non-methane volatile organic compounds (NMVOC),4535000
12/15/2025,Denmark,2015,Hydro-fluorocarbons (HFCS),193
12/15/2025,Belgium,2014,Ammonia (NH3),2654300
12/15/2025,Belgium,2017,Vinyl chloride,17490
12/15/2025,Sweden,2011,Carbon monoxide (CO),43858000
12/15/2025,Spain,2024,Chlorine and inorganic compounds (as HCl),360400
12/15/2025,Romania,2009,Particulate matter (PM10),17113700
12/15/2025,Poland,2010,Non-methane volatile organic compounds (NMVOC),5870000
12/15/2025,Italy,2019,Nickel and compounds (as Ni),2784.7231
12/15/2025,Norway,2008,"1,2-dichloroethane (DCE-1,2)",4330
12/15/2025,Netherlands,2010,Carbon dioxide (CO2),95551000000
12/15/2025,Ireland,2011,Hydro-fluorocarbons (HFCS),5824
12/15/2025,Finland,2024,Chlorine and inorganic compounds (as HCl),298800
12/15/2025,Switzerland,2011,Naphthalene,220
12/15/2025,Sweden,2010,Zinc and compounds (as Zn),25414
12/15/2025,Denmark,2009,Fluorine and inorganic compounds (as HF),191340
12/15/2025,Spain,2018,Copper and compounds (as Cu),6355
12/15/2025,Spain,2020,Polychlorinated biphenyls (PCBs),3.43
12/15/2025,Belgium,2021,Chromium and compounds (as Cr),1183
12/15/2025,Germany,2011,Hydro-fluorocarbons (HFCS),376163
12/15/2025,Austria,2024,Ammonia (NH3),244600
12/15/2025,Romania,2007,Methane (CH4),100487000
12/15/2025,Italy,2019,Hydrochlorofluorocarbons (HCFCs),5436.7643
12/15/2025,Greece,2007,Carbon dioxide (CO2),70242000000
12/15/2025,Czechia,2019,Sulphur oxides (SOX),56783147.14
12/15/2025,Finland,2018,Carbon monoxide (CO),4082000
12/15/2025,Slovenia,2013,Chlorine and inorganic compounds (as HCl),71300
12/15/2025,Spain,2017,Polychlorinated biphenyls (PCBs),0.664
12/15/2025,France,2024,"1,1,1-trichloroethane (TCE-1,1,1)",8920
12/15/2025,Hungary,2010,Arsenic and compounds (as As),175.9
12/15/2025,Portugal,2018,Arsenic and compounds (as As),757.2
12/15/2025,Finland,2020,Carbon dioxide (CO2) excluding biomass,17617200200
12/15/2025,Belgium,2007,Sulphur oxides (SOX),91119000
12/15/2025,Spain,2023,Hydrochlorofluorocarbons (HCFCs),49.79
12/15/2025,Belgium,2024,Copper and compounds (as Cu),345
12/15/2025,Poland,2024,Benzene,46360
12/15/2025,Czechia,2018,Carbon monoxide (CO),143572090.6
12/15/2025,Portugal,2019,Carbon dioxide (CO2),26988000000
12/15/2025,Norway,2015,"1,2-dichloroethane (DCE-1,2)",2600
12/15/2025,Portugal,2007,Nitrous oxide (N2O),2811000
12/15/2025,Finland,2011,Lead and compounds (as Pb),3114
12/15/2025,Finland,2014,Hexachlorobenzene (HCB),14
12/15/2025,Finland,2018,Mercury and compounds (as Hg),314.8
12/15/2025,Norway,2011,Particulate matter (PM10),4455700
12/15/2025,Ireland,2023,Carbon dioxide (CO2),11797890422
12/15/2025,Netherlands,2019,Arsenic and compounds (as As),85.7
12/15/2025,Norway,2011,Mercury and compounds (as Hg),24.3
12/15/2025,Netherlands,2014,Hydro-fluorocarbons (HFCS),15149
12/15/2025,Portugal,2020,Zinc and compounds (as Zn),9751
12/15/2025,Slovenia,2013,Carbon dioxide (CO2) excluding biomass,1189000000
12/15/2025,Poland,2009,Non-methane volatile organic compounds (NMVOC),6060000
12/15/2025,Slovakia,2010,Ammonia (NH3),830000
12/15/2025,United Kingdom,2013,Fluorine and inorganic compounds (as HF),1954940
12/15/2025,Iceland,2020,Polycyclic aromatic hydrocarbons (PAHs),68
12/15/2025,Slovakia,2012,Benzene,59690
